venue_name,address,city,state,zip_code,phone,website,sports_supported,latitude,longitude,approved_at,photo_review_status,admin_status,country,origin_type,community_source,community_source_id,community_seed_batch,community_seeded_at,community_curated_by,community_provenance,place_type
Sports Cafe Bar,,,,,,,,4.6422313,-74.0759712,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00097,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Barrio Central Café Bar,68-123 Circular 2,Medellín,,,+575407965,https://facebook.com/BarrioCentralCafeBar,,6.24502,-75.5887559,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00098,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Época espresso bar,33-24 Calle de la Artilleria,,,,,,,10.4237263,-75.5533031,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00099,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Disco Bar Nu Gente,,,,,,,,10.4014178,-75.4645163,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00100,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Ping Pong Bar,39-69 Avenida 37,,,,,,,6.2457941,-75.5963369,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00101,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Delfos pub,,,,,,,,4.6005239,-74.0701275,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00102,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Doors bar y pub,,,,,,,,4.6005441,-74.0699548,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00103,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
El Barón,31-7 Plaza de San Pedro de Claver,,,,+57 315 6463018,https://www.elbaron.co,,10.4220068,-75.5508173,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00104,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
El Sabor De La Barbacoa,calle 94 # 57-16,,,,,,,4.682718,-74.0645419,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00105,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Pizza la Barra,Carrera 62,,,,,,,4.7487492,-74.0618727,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00106,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Bar La Playita,Calle 162A,,,,,,,4.7369577,-74.0221258,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00107,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
The Bar,Calle 186,Bogotá D.C.,,,,,,4.7626572,-74.0371627,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00108,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Bolirana Bar,Carrera 15B,Bogotá D.C.,,,,,,4.7621147,-74.0370861,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00109,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
Cigarrería Bar Especial Express,Calle 164,,,,,,,4.7450431,-74.0464548,2026-05-25T00:12:02.378191+00:00,approved,active,Colombia,community,osm_venues_co_v4,co_00110,co_venues_batch_v4,2026-05-25T00:12:02.378191+00:00,osm_import_terminal_v4,{},venue
